"id_mention","full_text"
"00006b826eb2064cd4c069df5e9bebac","Gente pelo amor de Deus Boulos não , misericórdia, tenha piedade das nossas crianças e adolescentes.."
"00014e37ef658664f02ab02c991d45f7","Estou com Boulos 50 🙏"
"00018e4f326728431c1c97b775f31b67","Qual é sua opinião sobre isso? 👀🤔 . Já que o Datena não atingiu a expectativa…😂 . . . . . . . #politica #saopaulo #datena #pablomarçal #debate #explore #explorar #explorepage"
"0001c9de9cf636d2b5faa31eb88a87cd","Um carro da funerária acaba de entrar no hospital Sírio-Libanês. Família do Pablo Marçal já foi chamada. Essa é a notícia que eu nunca queria dar... Ele se encontra bem"
"0001df78f4f1323c23cab956a749ac62","Estadão Conteúdoi Estadão Conteúdo https://istoedinheiro.com.br/autor/estadao-conteudo/ 04/10/2024 - 16:51 Para compartilhar: Copie a URL: Copiar Vestindo vermelho e sem a presença da vice Marta Suplicy (PT), o deputado federal Guilherme Boulos (PSOL..."
"0001e447a041f7e616400490a9a0832e","O levantamento é conduzido pelo cientista político Sérgio Praça (FGV-CPDOC). A maneira como a deputada Tabata Amaral divulga o que supostamente fez na Câmara dos Deputados leva a confusão. É um estilo de campanha que oculta o papel do Legislativo como um todo. Há um padrão de comportamento de apropriação de ideias de outros parlamentares para além de acordos políticos normais, aproveitando-se do prestígio que tem entre grandes empresários e na opinião pública. - Sérgio Praça, pesquisador da FGV Como contraponto, o pesquisador afirma que o deputado e também candidato à prefeitura paulistana Guilherme Boulos (PSOL) tem um estilo diferente. Chamaram um baba ovo só pra falar mal dela e bem do invasor de casas"
"0002aa7086323d8552cf9a13b308c933","@@cintiaamanda3008VOTANDO OU NÃO GUILHERME BOULOS GANHA A PARADA 😮😮😮 JÁ FOI DECIDIDO A PEDRA JÁ FOI CANTADA 😮😮 NEM A AJUDA DE TARCÍSIO DE FREITAS NEM BOLSONARO NEM FILHO DE BOLSONARO NEM VOTOS DOS ADVERSÁRIOS NEM MESMO OS VOTOS DO PABLO FARÇAL NÃO AJUDA O ATUAL PREFEITO RICARDO NUNES 😮😮"
"0002de06e86090962e823c9b86b4d55c","É inegável que sem o Pablo Marçal , o BOULES estaria deitando e rolando em cima do bananinha . O que o Marçal fez com essa turminha que sempre nos enrolou a décadas , foi surreal ."
"0002e0badd93ce3385b6474aa8ab2287","Anota ae Boulos vai ganhar igual lula ganhou com a ajuda das urnas e claro vcs vão ver Nunes disparar ae depois vai parar e Boulos vai ganhar pouca diferença assim foi lula em Bolsonaro"
"000373b9ca15038e33767523591fdede","Não existe neutralidade"
"000378ecf0d819c05251ba9707bf5c9c","Na verdade eu acredito que Marçal entrou nessa disputa como laranja, unicamente para dividir os votos e impedir que Boulos tivesse uma votação maior do que teve. Para mim ele é da turma Nunes, Tarcísio e Bolsonaro, e tudo manipulado por eles...como estava com GRANDE VOTAÇÃO podendo ele ir para o segundo turno com Boulos, mudaram o ""escripti "" para ele, começou a atacar, e culminou nesse absurdo de atestado falso. Tarcísio, Malafaia e outros começaram a o atacar...assim seus votos iriam para Nunes...como foram. Esquema até aqui..."
"0003a379095b09698a0508614a8f1d92","Esse corte vai fica pra história kkk #viralreels #videos #instagram #riodejaneiro #viralvideos #brasil #riograndedosul #video #saopaulo #minasgerais #pablo #pablomarcal #pablomarçal #pablomarcal1 #marçal"
"0003ab3bb7208891038d0b554ae7c4e8","Boulos divulga exame toxicológico para rebater Marçal sobre acusações de uso de drogas Boulos divulga exame toxicológico para rebater Marçal sobre acusações de uso de drogas O candidato à prefeitura de São Paulo Guilherme Boulos (PSOL) divulgou um exame toxicológico para rebater as acusações feitas por Pablo Marçal (PRTB) sobre https://istoe.com.br/boulos-divulga-exame-toxicologico-para-rebater-marcal-sobre-acusacoes-de-uso-de-drogas/"
"0003dab40ecf4fcb716f403e4fcef818","O MST.13.PT INVADE PROPRIEDADES FAZENDAS NO PARANÁ REGIÃO CASCAVEL COM MST MASCARADOS, , ARMADOS DE PORRETES, FACÕES... EXPULSAM FUNCIONARIOS DE FAZENDAS...ROUBAM TERRAS, CASAS, MADEIRAS, FLORESTAS, LAVOURAS...GADO...CAVALOS......MONTARIAS....ELEGEM CHEFES DE QUADRILHAS ASSALTANTES.... COMO PRESIDENTE DO PT GLEISI E ZECA DIRCEU PT...NA REGIÃO...O ESQUEMA INVASÃO PT...ELEIÇÃO PT...JUIZES NOMEADOS PT... COMO OS MST VOTAM PT OS JUÍZES PT NAO REINTEGRAM AS PTOPRIEDADES INVADIDAS...NO COMUNISMO SOCIALISTA ROUBO DE PROPRIEDADES E EMPRESAS...COMO VUBA E VENEZUELA...."
"00045319cb079bd41baaf26a3123c773","SÃO PAULO, SP (FOLHAPRESS) – Após o autodenominado ex-coach Pablo Marçal (PRTB) chamar todos os adversários de esquerdistas e afirmar que o extremismo não pode governar São Paulo, Guilherme Boulos (PSOL) chamou o influenciador de “lobo na pele de..."
"000461770dc60964ce11ead49cf3c86e","Boulos e datena nao passa de um teatro tao de braços dados tomando vinho sao dois falsos"
"000489c59963a022cd1b7a1f72271064","POVO DE SÃO PAULO FAÇAM O BBBBB DE BOULOS 50 NELES ... BOULOS PREFEITO❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
"0004c0cb84f1f4183a0024ab1b1ae196","Ouvi um amém?"
"00057cd25cbaadc08588566fab37f153","Se o povo de SP votar no Boulos, é muita burrice."
"0005b0254e91adfceb9e1961cbd0f03c","Sempre 13! Parabéns a Tourinho."
"0006132e99767ae4f25c27555548479a","Entao...se o Bolhudo metesse ""vc nao é homem de me bater"" ao vivo assim e apanhasse.... teria que ser mtoo imbecil pra defender ele."
"00067021a1bf28628676982fe66e3470","FAZ O 28, O BRASIL ESTÁ COM PABLO MARÇAL! MESMO QUEM NÃO É DE SÃO PAULO FAZ CAMPANHA PARA PABLO MARÇAL. SÓ LEMBRANDO O NÚMERO DO FUTURO PREFEITO É 28💚💛👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏"
"00068d13d4a26b325ee6d6ef2d34778e","Ja vai?? Marçal?? Num vai embora nao😂😂 Fica vai ter Boulos🎂🧁😜✌️"
"000714efbb59e38ddb7f684a6bac097f","As cozinhass são insalubre,tem que trocar essa gestão atual urgente."
"000753b965403e071fcac267d07c1d2f","Moro em Mato Grosso, e voto em SP, dia 01/10 chego para contribuir com a campanha, estarei a disposição, com 67 anos em setembro for preciso fico noite e dia na campanha. Boulos 50, pq acredito nele e na equipe. Tamos juntos❤❤❤❤"
"00075506fe5092686c03aa6561e43fe6","...fez uso de um plano de governo com trechos inteiros iguais ao de outras propostas é o Pastor Gerson, da Democracia Cristã, em Cruzeiro, no interior de São Paulo. O título de seu projeto apresentado ao TSE é “Plano de governo (genérico)”. No texto, o..."
"00076a6a35ed355fa85b1f875612cbf1","TUDO PRONTO PARA BOULOS GANHAR, INFELIZMENTE, SOB A JUSTIFICATIVA DE MARÇAL TER APRESENTADO DOCUMENTO FALSO."
"00082b826d42a80a5567eaa0deaf70e3","Eu sou 1000% Pablo Marçal .Decepcionada com Bolsonaro.aaff"
"00082bfdab370b4969cbcddfdfa43090","O debate entre os candidatos à Prefeitura de São Paulo, realizado nesta segunda-feira, 23 de setembro de 2024, terminou de maneira tumultuada, com a expulsão de Pablo Marçal (PRTB) e uma agressão física envolvendo um de seus assessores e o marqueteiro da..."
"00085f6be9bdf85255ee8998f9207d5e","...acordo de não agressão com os apoiadores de Marçal, preocupados com a segurança. Participam do último encontro antes do primeiro turno os Ricardo Nunes , Guilherme Boulos , Pablo Marçal , Tabata Amaral e José Luiz Datena . A emissora apontou que a escolha..."
"0008dfc281c507745a58eb88f7d6bfea","Será que o Boulos vai cantar Evidências no debate? #BoulosPrefeito50 • #MartaVice50 • Coligação #AmorporSaoPaulo • Federação PSOL - Rede, Federação Brasil da Esperança (PT - PCdoB - PV), PDT • CNPJ 56.233.510-0001/63"
"0009503bc2157448f9b5dc8719e56413","Tudo quê estão fazendo contra Marçal vai se transformar em votos para Pablo Marçal...Deus não é vingativo...DEUS É JUSTO ....FAZ JUSTIÇA..."
"0009cc94237edf88c9241ffd0a59edbf","Pessoal sou catarinense e pesso vote. Em pablo marçal e 28.mmmmmmm."
"000a248fa0cea21ee0e20fb88335f626","...Redação Foto: Reprodução/Arquivo Pessoal A briga entre as equipes dos candidatos a prefeitura de São Paulo, Pablo Marçal (PRTB) e Ricardo Nunes (MDB), na segunda-feira (23), após o debate realizado no Flow Podcast, rendeu seis pontos no rosto de Duda Lima..."
"000a75f3a3c696bb78b8c4bd1d436bc4","😂😂😂😂 Pablo Marçal M28 e muito bom 😅"
"000aa14085044495d9238b0dea5033a9","Dr.Sandro, o senhor tem q levar o povo votar no Nunes com mais veemência. Por que digo isso? Porque no meio de mta análise as pessoas podem se confundir. É VOTE EM NUNES E PONTO. BOULOS É PIOR QUE LULA."
